,name,country,gross,genre,year,star,runtime,score,rating,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count
3870,Mutant Chronicles,USA,6820.0,Action,2008,Thomas Jane,111,5.2,R,Rotten,18,34,Spilled,24.0,6,6,28
1101,Untamed Heart,USA,18899204.0,Comedy,1993,Christian Slater,102,6.8,PG-13,Rotten,54,26,Upright,77.0,4,14,12
3007,Catch That Kid,USA,16702864.0,Adventure,2004,Kristen Stewart,91,5.2,PG,Rotten,13,86,Spilled,47.0,29,11,75
5239,Resident Evil: The Final Chapter,UK,26830068.0,Action,2016,Milla Jovovich,107,5.6,R,Rotten,37,100,Spilled,48.0,15,37,63
2718,Devdas,India,3500000.0,Musical,2002,Shah Rukh Khan,185,7.6,PG,Fresh,89,19,Upright,88.0,4,17,2
710,Terminator 2: Judgment Day,USA,204843350.0,Action,1991,Arnold Schwarzenegger,137,8.5,R,Certified Fresh,93,81,Upright,94.0,26,75,6
450,Little Monsters,USA,793775.0,Adventure,1989,Fred Savage,100,6.1,PG,Rotten,50,8,Upright,62.0,1,4,4
1227,Crooklyn,USA,13640000.0,Comedy,1994,Alfre Woodard,115,6.9,PG-13,Fresh,77,30,Upright,90.0,10,23,7
1189,Street Fighter,Japan,33423521.0,Action,1994,Jean-Claude Van Damme,102,3.8,PG-13,Rotten,11,38,Spilled,20.0,8,4,34
1938,A Simple Plan,UK,16311763.0,Crime,1998,Bill Paxton,121,7.5,R,Certified Fresh,90,71,Upright,81.0,11,64,7
2526,Human Nature,France,695876.0,Comedy,2001,Tim Robbins,96,6.4,R,Rotten,49,94,Upright,61.0,29,46,48
125,Dream Lover,USA,502237.0,Crime,1986,Kristy McNichol,104,5.1,R,Rotten,57,14,Spilled,39.0,2,8,6
4462,The Big Year,USA,7204138.0,Comedy,2011,Owen Wilson,100,6.2,PG,Rotten,41,102,Spilled,40.0,35,42,60
1256,Clifford,USA,7411659.0,Comedy,1994,Martin Short,90,5.3,PG,Rotten,10,30,Upright,67.0,9,3,27
1879,Godzilla,USA,136314294.0,Action,1998,Matthew Broderick,139,5.3,PG-13,Certified Fresh,75,318,Upright,66.0,59,239,79
4899,Exodus: Gods and Kings,UK,65014513.0,Action,2014,Christian Bale,150,6.0,PG-13,Rotten,30,202,Spilled,35.0,47,61,141
2629,The Time Machine,USA,56684819.0,Action,2002,Guy Pearce,96,5.9,G,Fresh,77,35,Upright,79.0,3,27,8
728,Father of the Bride,USA,89325780.0,Comedy,1991,Steve Martin,105,6.5,G,Fresh,93,30,Upright,74.0,6,28,2
3914,Transformers: Revenge of the Fallen,USA,402111870.0,Action,2009,Shia LaBeouf,150,6.0,PG-13,Rotten,20,250,Spilled,57.0,54,50,200
4089,Incendies,Canada,6857096.0,Drama,2010,Lubna Azabal,131,8.2,R,Certified Fresh,93,121,Upright,92.0,38,112,9
4288,Pirates of the Caribbean: On Stranger Tides,USA,241071802.0,Action,2011,Johnny Depp,100,6.6,PG-13,Rotten,33,274,Spilled,54.0,49,90,184
3086,Suspect Zero,UK,8725813.0,Crime,2004,Aaron Eckhart,100,5.9,R,Rotten,18,129,Spilled,38.0,35,23,106
1331,Bad Boys,USA,65807024.0,Action,1995,Will Smith,119,6.8,R,Rotten,42,62,Upright,78.0,16,26,36
472,Dream a Little Dream,USA,5552441.0,Comedy,1989,Corey Feldman,114,5.9,PG-13,Rotten,0,10,Upright,67.0,3,0,10
1126,Deadfall,USA,18369.0,Crime,1993,Michael Biehn,98,3.7,R,Rotten,0,5,Spilled,26.0,1,0,5
4656,Madea's Witness Protection,USA,65653242.0,Comedy,2012,Tyler Perry,100,4.9,PG-13,Rotten,19,36,Upright,66.0,13,7,29
4184,The Ghost Writer,France,15541549.0,Drama,2010,Ewan McGregor,128,7.2,PG-13,Certified Fresh,84,205,Upright,70.0,45,172,33
3374,Stranger Than Fiction,USA,40137776.0,Comedy,2006,Will Ferrell,113,7.6,PG-13,Certified Fresh,72,174,Upright,85.0,47,126,48
1313,Jumanji,USA,100475249.0,Action,1995,Robin Williams,104,6.9,PG,Rotten,54,37,Upright,62.0,8,20,17
685,Spaced Invaders,USA,15369573.0,Adventure,1990,Douglas Barr,100,5.3,PG,Rotten,8,12,Spilled,51.0,3,1,11
2353,Psycho Beach Party,Australia,265107.0,Comedy,2000,Lauren Ambrose,95,6.3,NR,Rotten,53,32,Upright,66.0,7,17,15
709,The Silence of the Lambs,USA,130742922.0,Crime,1991,Jodie Foster,118,8.6,R,Certified Fresh,96,93,Upright,95.0,27,89,4
3084,Swades,India,1223240.0,Drama,2004,Shah Rukh Khan,195,8.3,NR,Fresh,83,6,Upright,91.0,3,5,1
2495,Summer Catch,USA,19693891.0,Comedy,2001,Freddie Prinze Jr.,108,5.0,PG-13,Rotten,8,91,Spilled,41.0,29,7,84
4491,Moonrise Kingdom,USA,45512466.0,Adventure,2012,Jared Gilman,94,7.8,PG-13,Certified Fresh,93,246,Upright,86.0,52,229,17
623,Navy Seals,USA,25069101.0,Action,1990,Charlie Sheen,113,5.5,R,Rotten,19,32,Spilled,42.0,11,6,26
3993,Madea Goes to Jail,USA,90485233.0,Comedy,2009,Tyler Perry,103,4.3,PG-13,Rotten,27,51,Upright,96.0,13,14,37
4106,A Nightmare on Elm Street,USA,63075011.0,Horror,2010,Jackie Earle Haley,95,5.2,R,Certified Fresh,94,52,Upright,83.0,7,49,3
2691,Divine Secrets of the Ya-Ya Sisterhood,USA,69599016.0,Drama,2002,Sandra Bullock,116,6.0,PG-13,Rotten,44,145,Upright,65.0,39,64,81
173,The Last Emperor,UK,43984230.0,Biography,1987,John Lone,163,7.8,PG-13,Certified Fresh,91,65,Upright,88.0,16,59,6
193,Blind Date,USA,39321715.0,Comedy,1987,Kim Basinger,95,5.9,NR,Rotten,33,21,Spilled,35.0,10,7,14
1553,Barb Wire,USA,3794000.0,Action,1996,Pamela Anderson,98,3.2,R,Rotten,28,36,Spilled,14.0,13,10,26
3312,Children of Men,USA,35552383.0,Drama,2006,Julianne Moore,109,7.9,R,Certified Fresh,92,247,Upright,85.0,53,227,20
3514,Halloween,USA,58272029.0,Horror,2007,Scout Taylor-Compton,109,6.1,R,Rotten,27,116,Spilled,59.0,23,31,85
2782,Dogville,Netherlands,1530386.0,Crime,2003,Nicole Kidman,178,8.0,R,Fresh,70,167,Upright,89.0,47,117,50
3402,The Benchwarmers,USA,57651794.0,Action,2006,David Spade,80,5.6,PG-13,Rotten,11,70,Upright,64.0,16,8,62
690,Madhouse,USA,21036771.0,Comedy,1990,Richard Alexander,90,5.3,PG-13,Rotten,0,5,Spilled,45.0,2,0,5
