id,name,country,gross,genre,year,star,runtime,rating,tomatometer_status,tomatometer_rating,tomatometer_count,audience_count,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count
252,Promised Land,USA,7597898.0,Drama,2012,Matt Damon,100,R,Fresh,73,11,52.0,5,8,3
253,The Bedroom Window,USA,12640385.0,Crime,1987,Steve Guttenberg,112,R,Fresh,81,16,1398.0,0,13,3
254,Straight to Hell,UK,210200.0,Action,1987,Sy Richardson,100,R,Rotten,38,8,2971.0,1,3,5
255,Burglar,Canada,16337355.0,Comedy,1987,Whoopi Goldberg,103,R,Rotten,27,11,6727.0,1,3,8
256,84 Charing Cross Road,UK,1083486.0,Biography,1987,Anne Bancroft,100,PG,Fresh,87,15,5118.0,3,13,2
257,Five Corners,UK,969205.0,Crime,1987,Jodie Foster,90,R,Fresh,78,9,1308.0,0,7,2
258,Date with an Angel,USA,1988962.0,Comedy,1987,Phoebe Cates,105,PG,Rotten,14,7,5869.0,2,1,6
259,Slam Dance,UK,406881.0,Mystery,1987,Tom Hulce,92,R,Rotten,20,5,953.0,1,1,4
260,The Squeeze,USA,2228951.0,Action,1987,Michael Keaton,101,PG-13,Rotten,17,6,346.0,1,1,5
261,The Squeeze,USA,2228951.0,Action,1987,Michael Keaton,101,PG-13,Rotten,15,13,162.0,2,2,11
262,Nadine,USA,5669831.0,Comedy,1987,Jeff Bridges,83,PG,Rotten,45,11,1737.0,1,5,6
263,Dead of Winter,USA,2413427.0,Drama,1987,Mary Steenburgen,100,R,Fresh,83,12,1121.0,2,10,2
264,Anguish,Spain,228789.0,Horror,1987,Zelda Rubinstein,86,NR,Fresh,62,13,304.0,4,8,5
265,Hello Again,USA,20419446.0,Comedy,1987,Shelley Long,96,PG,Rotten,11,19,5899.0,5,2,17
266,Russkies,USA,2189047.0,Drama,1987,Whip Hubley,100,PG,Rotten,14,7,1121.0,1,1,6
267,The Year My Voice Broke,Australia,213901.0,Drama,1987,Noah Taylor,103,PG-13,Fresh,94,16,889.0,5,15,1
268,From the Hip,USA,9518342.0,Comedy,1987,Judd Nelson,111,PG,Rotten,22,9,1541.0,3,2,7
269,Crazy Love,Belgium,119919.0,Drama,1987,Josse De Pauw,90,PG-13,Certified Fresh,78,88,5643.0,39,69,19
270,Eat the Rich,UK,200723.0,Action,1987,Al Pillay,90,R,Rotten,43,7,1247.0,5,3,4
