id,name,country,gross,genre,year,star,runtime,rating,tomatometer_status,tomatometer_rating,tomatometer_count,audience_count,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count
1475,Flirt,USA,76875.0,Drama,1995,Paul Austin,85,R,Fresh,80,10,719.0,2,8,2
2488,O,USA,16017403.0,Drama,2001,Mekhi Phifer,95,R,Fresh,64,125,36079.0,34,80,45
207,Ironweed,USA,7393346.0,Drama,1987,Jack Nicholson,143,R,Fresh,62,21,2809.0,8,13,8
3051,The Woodsman,USA,40601.0,Drama,2004,Kevin Bacon,87,R,Certified Fresh,88,131,20945.0,37,115,16
1095,The Joy Luck Club,USA,32861136.0,Drama,1993,Tamlyn Tomita,139,R,Fresh,86,36,27685.0,7,31,5
3458,Madea's Family Reunion,USA,63257940.0,Comedy,2006,Tyler Perry,107,PG-13,Rotten,25,57,40200.0,20,14,43
1638,Carpool,USA,3308758.0,Comedy,1996,Tom Arnold,89,PG,Rotten,13,23,8914.0,9,3,20
3300,Man-Thing,USA,143615.0,Action,2005,Jack Thompson,105,R,Rotten,17,6,6489.0,0,1,5
4312,I Am Number Four,USA,55100437.0,Action,2011,Alex Pettyfer,109,PG-13,Rotten,33,165,145551.0,35,54,111
4178,Animal Kingdom,Australia,1044039.0,Crime,2010,James Frecheville,113,R,Certified Fresh,94,161,29796.0,34,152,9
5276,Lights Out,USA,67235683.0,Horror,2016,Teresa Palmer,81,PG-13,Certified Fresh,76,173,27335.0,36,132,41
5106,Ted 2,USA,81476385.0,Comedy,2015,Mark Wahlberg,115,R,Rotten,45,203,65173.0,45,92,111
2060,Tarzan,USA,171091819.0,Animation,1999,Tony Goldwyn,88,G,Certified Fresh,89,105,370152.0,28,93,12
107,True Stories,USA,2545142.0,Musical,1986,David Byrne,90,PG,Fresh,76,21,5317.0,1,16,5
4538,Stuck in Love,USA,78950.0,Comedy,2012,Greg Kinnear,97,R,Rotten,57,44,12987.0,11,25,19
2498,Mean Machine,UK,92770.0,Comedy,2001,Vinnie Jones,99,R,Rotten,34,56,38142.0,23,19,37
3259,Transamerica,USA,9015303.0,Adventure,2005,Felicity Huffman,103,R,Certified Fresh,77,139,68039.0,40,107,32
128,Armed Response,USA,1368912.0,Action,1986,David Carradine,86,R,Rotten,0,12,108.0,6,0,12
28,The Mission,UK,17218023.0,Adventure,1986,Robert De Niro,125,PG,Fresh,64,25,38852.0,7,16,9
2510,Black Knight,USA,33422806.0,Adventure,2001,Martin Lawrence,95,PG-13,Rotten,13,97,169129.0,29,13,84
4487,Jack Reacher,USA,80070736.0,Action,2012,Tom Cruise,130,PG-13,Fresh,63,179,115924.0,46,113,66
5042,San Andreas,USA,155190832.0,Action,2015,Dwayne Johnson,114,PG-13,Rotten,50,239,65961.0,48,120,119
915,Raising Cain,USA,21370057.0,Crime,1992,John Lithgow,91,R,Rotten,57,35,9660.0,6,20,15
